text,label
Secret documents show that NASA is hiding an Earth-like planet 4 light-years away with a thriving civilisation.,FAKE
LEAKED MEMO: WHO plans to declare a global lockdown in January 2025 using a new engineered pathogen.,FAKE
Government black helicopters are conducting secret surveillance operations over American suburbs at night.,FAKE
PROOF: Ancient pyramids were built by an advanced alien civilization that still secretly visits Earth today.,FAKE
"Goldman Sachs announced plans to cut 3,200 jobs as part of a strategic restructuring.",REAL
EXPOSED: The flu shot contains live viruses designed to spread new strains and keep pharmaceutical profits soaring.,FAKE
BOMBSHELL: Bitcoin was created by the NSA to track all financial transactions and eliminate financial privacy.,FAKE
Australia's government introduced legislation to raise the minimum retirement age for accessing superannuation.,REAL
BOMBSHELL: Queen Elizabeth II was actually a man who had been secretly replaced after World War II.,FAKE
BOMBSHELL REPORT: Fauci personally designed COVID-19 in a Wuhan lab to destroy the global economy.,FAKE
SECRET: Keanu Reeves is an immortal who has lived for centuries — side-by-side photos prove it.,FAKE
Researchers found that regular moderate exercise reduces the risk of 13 types of cancer.,REAL
"URGENT: If you get a call from this number, your bank account will be drained in seconds — share immediately.",FAKE
"China's GDP expanded 4.9% in the third quarter, driven by strong manufacturing and export activity.",REAL
The G7 nations pledged an additional $50 billion in financial support to Ukraine during the summit in Italy.,REAL
BOMBSHELL: US military has recovered 12 intact alien spacecraft and keeps live extraterrestrials in Area 52.,FAKE
EXPOSED: The 2008 financial crisis was engineered by Goldman Sachs to transfer trillions to the ultra-wealthy.,FAKE
Walmart raised its full-year profit outlook after strong back-to-school and holiday season sales.,REAL
NASA scientists ADMIT behind closed doors that space travel is impossible and the ISS is a Hollywood set.,FAKE
The Supreme Court ruled 6-3 to uphold the legality of affirmative action at military academies.,REAL
"SHARE THIS: Man earns $10,000 a day doing one simple trick Facebook DESPERATELY wants to ban.",FAKE
EXPOSED: The FBI is running a secret program to surveil and silence conservative Christians in America.,FAKE
"Coral bleaching events are now five times more frequent than in the 1980s, scientists report.",REAL
Astronomers detected water vapor in the atmosphere of a planet 8.6 light-years from Earth.,REAL
"Taiwan held presidential elections, with William Lai Ching-te winning with 40% of the vote.",REAL
Top physicists ADMIT: the Earth is actually flat; photos from space are computer-generated images by NASA.,FAKE
SECRET: The government adds a chemical to coffee that causes memory loss so citizens forget past corruption.,FAKE
"The US national debt surpassed $33 trillion for the first time, raising concerns among fiscal watchdogs.",REAL
"SpaceX successfully launched its Starship rocket on its fourth integrated flight test, achieving a controlled ocean splashdown.",REAL
EXPOSED: Scientists admit the speed of light has been miscalculated for centuries; GPS is actually faked.,FAKE
Doctors REFUSE to tell you: eating raw garlic every day completely cures diabetes in just two weeks.,FAKE
The FDA approved a new Alzheimer's drug that slows cognitive decline by 35% in clinical trials.,REAL
SECRET: Big Pharma buries natural cancer cure made from apricot seeds to protect its trillion-dollar industry.,FAKE
EXPOSED: Your shampoo contains a hormone-disrupting chemical that makes men infertile and women submissive.,FAKE
Hospitals are harvesting organs from COVID patients while they are still alive — whistleblower reveals the truth.,FAKE
BOMBSHELL: Obama was born in Kenya; his birth certificate is a forgery made by the CIA to install a sleeper agent.,FAKE
"The global average temperature in 2023 was 1.45°C above pre-industrial levels, according to the EU's climate agency.",REAL
Democrats are secretly replacing American voters with illegal immigrants to achieve permanent electoral dominance.,FAKE
Sunscreen causes cancer more than the sun — it's a conspiracy to keep you buying toxic products forever.,FAKE
The International Court of Justice ordered Israel to prevent genocidal acts in Gaza.,REAL
India's Chandrayaan-3 mission became the first spacecraft to land near the Moon's south pole.,REAL
Bigfoot has been captured by the US Forest Service and is being held at a secret facility in Montana.,FAKE
Doctor FIRED for revealing that common pain reliever cures COVID-19 in 48 hours — government orders silence.,FAKE
Simone Biles returned to competitive gymnastics and won three gold medals at the 2024 Paris Olympics.,REAL
"Electric vehicle sales surpassed 10 million globally in 2022, a record high.",REAL
The United Nations Secretary-General called for an emergency session of the Security Council.,REAL
LEAKED: The CIA assassinated JFK because he was about to reveal the existence of extraterrestrial contact.,FAKE
EXPOSED: The Vatican sits on a library containing proof that Jesus was not crucified and survived to age 80.,FAKE
The Kansas City Chiefs defeated the San Francisco 49ers 25-22 in overtime to win Super Bowl LVIII.,REAL
BOMBSHELL: Disney executives are members of a satanic cult that hides demonic symbols in all their films.,FAKE
"TRUTH: The Earth is only 6,000 years old; carbon dating is a flawed technique invented to hide creation.",FAKE
Scientists confirmed Antarctic sea ice hit record lows for the third consecutive year in 2024.,REAL
"CERN scientists confirmed the detection of a rare Higgs boson decay mode, validating key predictions of the Standard Model.",REAL
ALERT: Banks are secretly preparing to freeze all personal accounts and seize assets during the next 'planned' crash.,FAKE
The cure for AIDS has existed since 1987 but governments worldwide have suppressed it to maintain power over Africa.,FAKE
"NASA's Perseverance rover collected its first Martian rock samples, which will be returned to Earth in the 2030s.",REAL
The NASDAQ composite gained 1.2% on Tuesday after positive jobs data eased recession fears.,REAL
"France held its parliamentary elections, with no single coalition winning an outright majority.",REAL
"Sweden officially became a member of NATO, ending decades of military neutrality.",REAL
A new report found that air pollution is responsible for approximately 7 million premature deaths annually worldwide.,REAL
"NATO announced a new rapid-response force of 300,000 troops to strengthen its eastern flank.",REAL
The World Bank approved a $2.4 billion loan to help developing countries transition to renewable energy sources.,REAL
A Rothschild family document leaked online proves they control every central bank and plan to start World War III.,FAKE
Health officials reported a significant decline in childhood obesity rates following new school nutrition guidelines.,REAL
South Korea and Japan agreed to restore full diplomatic relations after years of historical disputes.,REAL
BOMBSHELL: A cure for the common cold has existed for 40 years but is kept secret by pharmaceutical giants.,FAKE
A new international treaty to protect the high seas was signed by more than 60 nations.,REAL
"Congress passed a short-term funding bill to avoid a government shutdown, extending the current budget through January.",REAL
"BOMBSHELL: Hospitals are paid $50,000 for every patient they label as COVID to inflate the numbers and SCARE the public.",FAKE
EXPOSED: The Bermuda Triangle is an underwater alien base that captures ships and planes for experiments.,FAKE
A team at Cambridge University used CRISPR gene editing to treat a patient with sickle cell disease.,REAL
"Inflation in the eurozone slowed to 2.9% in October, approaching the European Central Bank's 2% target.",REAL
Researchers published evidence of a massive underground water reservoir discovered beneath the Sahara Desert.,REAL
Scientists at Stanford created a biodegradable plastic alternative made entirely from plant starch.,REAL
"Tesla delivered 435,059 vehicles in the third quarter, slightly below analyst forecasts.",REAL
EXPOSED: Major Hollywood studio pays celebrities to promote vaccine propaganda in exchange for movie roles.,FAKE
Brazil's President Lula da Silva pledged to halt deforestation of the Amazon by 2030.,REAL
Evolution is a lie — scientists secretly admit they have never found a real transitional fossil.,FAKE
"The EU's AI Act, the world's first comprehensive artificial intelligence regulation, entered into force.",REAL
PROOF: The government has technology to control the weather and caused the California wildfires intentionally.,FAKE
Federal Reserve members met in secret and decided to crash the economy deliberately to usher in digital currency.,FAKE
Scientists recorded the lowest ever Antarctic sea ice extent in February 2023.,REAL
Microsoft reported that its Azure cloud division revenue grew 28% year-over-year in the latest quarter.,REAL
QAnon source reveals that global elites worship Satan and sacrifice children in underground ceremonies.,FAKE
The UN's COP28 climate summit concluded with an agreement to transition away from fossil fuels.,REAL
Deep State operatives have been secretly replacing world leaders with clones controlled from underground bunkers.,FAKE
Oxford researchers developed a blood test that detects Alzheimer's disease up to 15 years before symptoms appear.,REAL
BREAKING: Congress passed a secret amendment giving itself the power to cancel elections during emergencies.,FAKE
WARNING: New 5G towers emit radiation that cooks your brain cells; this is why people are getting headaches nationwide.,FAKE
PROOF: The 2020 US election was rigged by a secret cabal using Italian satellites to switch millions of votes.,FAKE
"Amazon reported third-quarter earnings of $9.9 billion, beating analyst expectations by a wide margin.",REAL
The Amazon rainforest deforestation rate fell by 22% in the first six months of 2023 compared to the prior year.,REAL
"Meta's AI assistant is now available across WhatsApp, Messenger, Instagram, and Facebook.",REAL
ALERT: New EMF device is being installed in street lights to sterilise people walking beneath them.,FAKE
PROOF: Chemtrails from aircraft are laced with mind-altering chemicals to make the population submissive.,FAKE
"Shohei Ohtani signed a record $700 million, 10-year contract with the Los Angeles Dodgers.",REAL
"Lionel Messi won his eighth Ballon d'Or award, extending his record as the most decorated player in history.",REAL
Leaked emails show top Democratic senators planned the January 6 riots themselves to frame conservatives.,FAKE
"Engineers at Caltech achieved a solar-to-fuel conversion efficiency of 20%, a new world record.",REAL
Scientists ADMIT: drinking urine every morning boosts immunity and cures 47 known diseases.,FAKE
Clinical trials for a universal influenza vaccine showed 75% efficacy across multiple flu strains.,REAL
Scientists discovered a new species of deep-sea octopus in the Pacific Ocean near the Galápagos Islands.,REAL
George Soros and Bill Gates purchased every major news network to control what Americans think and feel.,FAKE
SHOCKING: Thousands of children paralysed by polio vaccine in India — WHO hides the truth to protect profits.,FAKE
Scientists at Johns Hopkins identified a key protein responsible for the spread of pancreatic cancer cells.,REAL
The US trade deficit narrowed to $64.3 billion in August as exports rose and imports declined.,REAL
TRUTH BOMB: Gravity does not exist — objects fall because the Earth expands at 9.8 m/s squared upward.,FAKE
Secret global currency reset planned for 2025 will make all cash worthless overnight — buy silver now.,FAKE
"US consumer price index rose 3.2% year-over-year in October, down from 3.7% recorded in September.",REAL
A new antibiotic discovered in soil microbes has shown effectiveness against drug-resistant bacteria in clinical trials.,REAL
TRUTH: The Great Wall of China was built by aliens — no primitive civilization could achieve this feat.,FAKE
LEAKED: Major tech companies are recording all private conversations and selling them to government agencies.,FAKE
TRUTH REVEALED: Climate scientists are paid millions to fabricate global warming data by solar energy billionaires.,FAKE
Global oil prices dropped 3% after OPEC members failed to agree on further production cuts at their Vienna summit.,REAL
The WHO declared the end of the latest Ebola outbreak in Uganda after 42 days without a new case.,REAL
BREAKING: The moon is actually a hollow artificial satellite placed by an advanced alien civilisation.,FAKE
BREAKING: Taylor Swift is a Pentagon psychological operation designed to influence young voters for the Deep State.,FAKE
PROOF: The IRS is an illegal private corporation with no authority to collect taxes from American citizens.,FAKE
BOMBSHELL: Top geologists privately admit that volcanoes are actually underground nuclear reactors.,FAKE
MIRACLE: Man claims drinking bleach cured his stage-4 cancer; mainstream media refuses to report the story.,FAKE
"JPMorgan Chase posted record annual profits of $49.6 billion, boosted by rising net interest income.",REAL
"The WHO issued new guidelines on sugar consumption, recommending adults consume no more than 25 grams per day.",REAL
LEAKED: George Soros is paying thousands of migrants to invade the US and destroy American culture.,FAKE
PROOF: Several A-list Hollywood celebrities are actually reptilian shape-shifters from the Draco constellation.,FAKE
Former CIA director ADMITS on deathbed: the government has been in contact with multiple alien species since 1947.,FAKE
"The Federal Reserve raised interest rates by 25 basis points, citing continued progress on inflation.",REAL
ALERT: Facebook will begin charging users $9.99 per month starting next week unless you share this post now.,FAKE
PROOF: Paul McCartney died in 1966 and was replaced by a look-alike; The Beatles hid clues in every album.,FAKE
The UN Security Council passed a resolution calling for an immediate humanitarian ceasefire in Gaza.,REAL
PROOF: The Loch Ness Monster is a living plesiosaur that the UK government keeps secret to protect tourism.,FAKE
Researchers at Harvard Medical School identified a genetic variant that doubles the risk of developing MS.,REAL
"Apple introduced its M3 chip family, manufactured on a 3-nanometer process and offering significant performance gains.",REAL
Secret UN resolution would hand over all national sovereignty to a one-world government by 2030.,FAKE
"Google unveiled its Gemini AI model, which it claims outperforms GPT-4 on most benchmark tests.",REAL
ALERT: GMO foods are altering human DNA and causing a secret mass-sterilization agenda.,FAKE
A study published in Nature Medicine found that a new mRNA vaccine reduces melanoma recurrence by 44%.,REAL
"Elvis Presley faked his death with FBI help and has been living under a new identity in Kalamazoo, Michigan.",FAKE
BREAKING: A new law makes it illegal to pray in your own home — Congress voted quietly at midnight.,FAKE
Renewables provided more than 30% of global electricity for the first time in 2023.,REAL
Palaeontologists in Argentina unearthed bones of a dinosaur that may be the largest land animal ever discovered.,REAL
Deep underground government bases house hundreds of captured extraterrestrials forced to share technology.,FAKE
The UK's Competition and Markets Authority opened a formal investigation into cloud computing giants.,REAL
"The Boston Celtics won the 2024 NBA Championship, defeating the Dallas Mavericks four games to one.",REAL
"Oprah Winfrey runs a secret child trafficking network out of her Santa Barbara estate, whistleblower claims.",FAKE
The US Senate passed a bipartisan bill requiring companies to obtain parental consent before collecting data from minors.,REAL
Top virologists CONFESS: viruses don't actually exist; disease is caused by electromagnetic frequencies alone.,FAKE
The European Central Bank held interest rates steady amid concerns about slowing economic growth in the eurozone.,REAL
BREAKING: Scientists CONFIRM 5G towers are injecting nanobots into people through the air — government cover-up exposed!,FAKE
Broadcom completed its $69 billion acquisition of VMware after receiving regulatory approvals.,REAL
The US government detonated a weather weapon to create Hurricane Katrina as a test of population control.,FAKE
HOAX EXPOSED: Red Bull energy drink contains bull sperm — company exec admits it in leaked interview.,FAKE
LEAKED MEMO: Amazon and Walmart have secretly bribed Congress to outlaw small businesses within 5 years.,FAKE
WARNING: A new silent cyber attack is wiping banking records — withdraw all cash before Monday.,FAKE
A cybersecurity firm discovered a critical vulnerability affecting millions of Wi-Fi routers worldwide.,REAL
"Germany shut down its last three nuclear power plants, completing its phase-out of atomic energy.",REAL
"A new study shows that ocean temperatures reached record highs in 2023, surpassing previous records by a large margin.",REAL
Apple became the first company to sustain a market capitalization above $3 trillion.,REAL
Fluoride in tap water is a mind-control chemical used by the government to keep citizens docile and obedient.,FAKE
"The 2024 Summer Olympics in Paris attracted more than 10,000 athletes from 206 nations.",REAL
"Arctic sea ice reached its minimum summer extent in September, the third lowest on record.",REAL
TRUTH: Microwaves emit radiation that permanently alters the molecular structure of food and causes cancer.,FAKE
Leaked Pentagon documents reveal the US tested a mind-control drug on soldiers at Fort Bragg in the 1990s.,FAKE
Carlos Alcaraz defeated Novak Djokovic in four sets to win his second consecutive Wimbledon title.,REAL
"The IMF revised global growth forecasts downward to 2.9% for 2024, citing high interest rates and geopolitical risks.",REAL
"The Dow Jones Industrial Average closed above 37,000 for the first time in its history.",REAL
"The CDC updated its COVID-19 guidance, aligning its recommendations with those for other respiratory illnesses.",REAL
BOMBSHELL: A time traveler from 2087 has come back to warn us about a catastrophic solar event in 2026.,FAKE
SHOCKING: Hillary Clinton ran a child trafficking ring from the basement of a Washington DC pizza restaurant.,FAKE
"UK inflation fell sharply to 4.6% in October from 6.7% in September, aided by lower energy prices.",REAL
The Federal Reserve is privately owned by 13 banking families who are deliberately destroying the US dollar.,FAKE
The UK government announced a plan to build 1.5 million new homes over the next five years.,REAL
BREAKING: Russia has deployed an invisible drone that can shoot down any aircraft without detection.,FAKE
PROOF: Climate change is a HOAX invented by bankers to impose a global carbon tax and enslave humanity.,FAKE
LEAKED PHOTOS: NASA cuts live feed every time alien structures on the Moon become visible in telescope images.,FAKE
PROOF: Major grocery stores are spraying produce with a chemical that causes shoppers to buy more food.,FAKE
"A longitudinal study of 500,000 people found that adequate sleep significantly reduces risk of heart disease.",REAL
Intel announced plans to build a $20 billion chip manufacturing campus in Ohio.,REAL
URGENT ALERT: COVID vaccines contain microchips that track your location and can be activated remotely by Bill Gates.,FAKE
"OpenAI launched GPT-4o, a multimodal model capable of processing text, audio, and images in real time.",REAL
TRUTH: Every US dollar is backed by nothing and the entire financial system is days away from total collapse.,FAKE
SHOCKING: Scientists discover the Earth is actually inside a giant simulation run by an unknown intelligence.,FAKE
Gold is actually worthless — governments artificially maintain its price to control global wealth.,FAKE
Researchers published data showing flu vaccinations reduced hospitalizations by 26% during the 2022-23 season.,REAL
Samsung unveiled a foldable phone with an improved hinge mechanism and brighter external display.,REAL
The US women's national soccer team was eliminated from the 2023 Women's World Cup in the round of sixteen.,REAL
Researchers at MIT developed a new battery technology that could triple the range of electric vehicles.,REAL
A major clinical trial found that a weekly injectable medication outperforms daily pills for type 2 diabetes management.,REAL
Tupac is ALIVE and living in Cuba; the CIA staged his death to protect him from record label hitmen.,FAKE
WARNING: A secret law allows police to seize your property without charge if you carry more than $500 in cash.,FAKE
WARNING: A new drug called 'Diablo' is being placed on children's Halloween candy across the country.,FAKE
The moon landing never happened — NASA itself leaked the film outtakes from the Hollywood sound stage.,FAKE
A peer-reviewed study found Mediterranean diet adherence is associated with a 29% reduced risk of cardiovascular disease.,REAL
LEAKED: Beyoncé has been dead since 2000 and replaced by a clone; compare photos and you'll see the truth.,FAKE
ALERT: A new variant of HIV is spreading through paper money — stop using cash immediately.,FAKE
"US unemployment fell to 3.7% in October, the lowest level in five decades, according to the Labor Department.",REAL
TSMC broke ground on its second semiconductor manufacturing facility in Arizona.,REAL
Dinosaurs never existed — the bones are carved from plaster by the Smithsonian to support the evolution agenda.,FAKE
EXPOSED: The New World Order met in secret to plan a global depopulation event disguised as a pandemic.,FAKE
Quantum physicists privately agree that astrology is scientifically valid but can't say it publicly.,FAKE
North Korea launched a ballistic missile that flew over Japan before landing in the Pacific Ocean.,REAL
Japan announced a record defence budget of $51 billion for fiscal year 2023.,REAL
LEAKED DOCUMENT reveals CDC secretly knows vaccines cause autism but suppresses data to protect drug companies.,FAKE
Novak Djokovic claimed his 24th Grand Slam title with a victory at the US Open.,REAL
EXPOSED: Top chefs in elite restaurants secretly use human meat sourced from funeral homes.,FAKE
The US Senate confirmed the new ambassador to China in a bipartisan 61-34 vote.,REAL
New study PROVES smartphones emit radiation that causes brain tumours in children within three years of use.,FAKE
PROOF: Global elites spray the sky every Tuesday to reduce the world's population by 5% over 20 years.,FAKE
NASA's James Webb Space Telescope has captured the deepest and sharpest infrared image of the distant universe.,REAL
BREAKING: Scientists discover that humans only use 5% of their DNA — unlocking the rest grants psychic powers.,FAKE
The European Parliament voted to approve the Nature Restoration Law with a narrow majority.,REAL
Secret cure for cancer hidden by Big Pharma for 30 years finally LEAKED: drinking baking soda kills all tumors instantly.,FAKE
US housing starts rose 7% in September as mortgage rates dipped slightly from two-decade highs.,REAL
Formula 1 announced Las Vegas as a new Grand Prix venue beginning in the 2023 season.,REAL
"BREAKING: A massive alien mothership has been spotted hiding behind the Moon, military sources confirm.",FAKE
The African Union was admitted as a permanent member of the G20.,REAL
